id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29566829,Luxury Suite near EWR/NYC,40071986,Christian,,South,40.68125,-74.20744,Private room,94,1,41,2020-03-30,0.86,15,136,0,
17992956,PrIVATE Bedroom close to NYCity & NJ EWR airport,121252500,Perfeito,,South,40.67726,-74.19817,Private room,41,1,16,2022-06-18,0.26,6,239,4,
53798992,2Br w/Kitchn Clse to NYC/Metlife drv 20 min trvl,252212840,Anthony,,North,40.78122,-74.18063,Entire home/apt,108,2,16,2022-09-15,4.21,1,344,16,
29685739,Loft fully furnished North NJ,163031055,Rosemeri,,North,40.77971,-74.13683,Entire home/apt,71,2,100,2022-09-11,2.16,2,119,36,
548042118444178083,Five-Points Luxury 1 Bedroom/1 Bath close to NY,392424039,Kay,,North,40.79232,-74.18977,Entire home/apt,119,31,0,,,2,86,0,
701407002036162209,Spacious Condo next to Nyc train station!,436188079,Enez,,South,40.67633,-74.21164,Entire home/apt,179,2,0,,,3,360,0,
52748629,The Maplewood House -5br w huge yard by NYC,27999696,Sheralee,,West,40.72423,-74.26367,Entire home/apt,879,1,2,2022-08-22,0.52,1,43,2,
693377825115099461,Lovely one private cozy bedroom #2,369391236,Taswiyah,,West,40.76165,-74.21784,Private room,27,1,0,,,5,92,0,
31291811,Private Room with Shared Bath Private Parking,58478540,Armando,,West,40.76109,-74.22036,Private room,38,6,40,2022-09-09,0.9,9,363,13,
603651657441448128,Home away from home residence 2,281408829,Alexis,,West,40.75605,-74.21583,Private room,60,5,7,2022-08-27,1.52,4,360,7,
706682264967212298,Brand New 1 Bed / 1 Bath in Beautiful Neighborhood,319005137,Robert,,North,40.79581,-74.17308,Entire home/apt,119,7,1,2022-09-11,1,2,334,1,
24655227,The Lennox Stay - Close to NYC ☆ Free Parking,186328264,Said & Sue-Ann,,North,40.7887,-74.19173,Entire home/apt,220,3,159,2022-09-16,2.98,8,329,23,
